Αἰακοῦ	*ai)akou=	Αἰακός	*ai)ako/s	n-s---mg-
θυμός	qumo/s	θυμός	qumo/s	n-s---mn-
θυσίαν	qusi/an	θυσία	qusi/a	n-s---fa-
θάκοις	qa/kois	θᾶκος	qa=kos	n-p---md-
θάκους	qa/kous	θᾶκος	qa=kos	n-p---ma-
θάλλουσαν	qa/llousan	θάλλω	qa/llw	v-sppafa-
θάλλων	qa/llwn	θάλλω	qa/llw	v-sppamn-
θάνατον	qa/naton	θάνατος	qa/natos	n-s---ma-
θάνατος	qa/natos	θάνατος	qa/natos	n-s---mn-
θάνοιμι	qa/noimi	θνήσκω	qnh/skw	v1saoa---
θάνῃ	qa/nh|	θνήσκω	qnh/skw	v2sase---
θάνῃ	qa/nh|	θνήσκω	qnh/skw	v3sasa---
θάρσος	qa/rsos	θάρσος	qa/rsos	n-s---nn-
θάρσος	qa/rsos	θάρσος	qa/rsos	n-s---nv-
θάρσος	qa/rsos	θάρσος	qa/rsos	n-s---na-
θάσσουσ’	qa/ssous'	θάσσω	qa/ssw	v-sppafn-
θάσσουσ’	qa/ssous'	θάσσω	qa/ssw	v-sppafv-
θάσσουσ’	qa/ssous'	θάσσω	qa/ssw	v-pppamd-
θάσσουσ’	qa/ssous'	θάσσω	qa/ssw	v-pppand-
θάσσουσ’	qa/ssous'	θάσσω	qa/ssw	v3ppia---
θάσσουσ’	qa/ssous'	θάσσω	qa/ssw	v-pppafn-
θάσσουσ’	qa/ssous'	θάσσω	qa/ssw	v-pppafv-
θάσσουσ’	qa/ssous'	θάζω	qa/zw	v-sfpafn-
θάσσουσ’	qa/ssous'	θάζω	qa/zw	v-sfpafv-
θάσσουσ’	qa/ssous'	θάζω	qa/zw	v3pasa---
θάσσουσ’	qa/ssous'	θάζω	qa/zw	v-pfpamd-
θάσσουσ’	qa/ssous'	θάζω	qa/zw	v-pfpand-
θάσσουσ’	qa/ssous'	θάζω	qa/zw	v3pfia---
θάσσουσ’	qa/ssous'	θάζω	qa/zw	v-pfpafn-
θάσσουσ’	qa/ssous'	θάζω	qa/zw	v-pfpafv-
θέαν	qe/an	θέα	qe/a	n-s---fa-
θέαν	qe/an	θεάω	qea/w	v3piia---
θέαν	qe/an	θεάω	qea/w	v1siia---
θέαν	qe/an	θεάω	qea/w	v3piia---
θέαν	qe/an	θεάω	qea/w	v1siia---
θέλει	qe/lei	ἐθέλω	e)qe/lw	v2spie---
θέλει	qe/lei	ἐθέλω	e)qe/lw	v3spia---
θέλειν	qe/lein	ἐθέλω	e)qe/lw	v--pna---
θέλεις	qe/leis	ἐθέλω	e)qe/lw	v2spia---
θέλοι	qe/loi	ἐθέλω	e)qe/lw	v3spoa---
θέλοντι	qe/lonti	ἐθέλω	e)qe/lw	v-sppamd-
θέλοντι	qe/lonti	ἐθέλω	e)qe/lw	v-sppand-
θέλοντι	qe/lonti	ἐθέλω	e)qe/lw	v3ppia---
θέλοντος	qe/lontos	ἐθέλω	e)qe/lw	v-sppamg-
θέλοντος	qe/lontos	ἐθέλω	e)qe/lw	v-sppang-
θέλουσα	qe/lousa	ἐθέλω	e)qe/lw	v-sppafn-
θέλουσα	qe/lousa	ἐθέλω	e)qe/lw	v-sppafv-
θέλουσ’	qe/lous'	ἐθέλω	e)qe/lw	v-sppafn-
θέλουσ’	qe/lous'	ἐθέλω	e)qe/lw	v-sppafv-
θέλουσ’	qe/lous'	ἐθέλω	e)qe/lw	v-pppamd-
θέλουσ’	qe/lous'	ἐθέλω	e)qe/lw	v-pppand-
θέλουσ’	qe/lous'	ἐθέλω	e)qe/lw	v3ppia---
θέλουσ’	qe/lous'	ἐθέλω	e)qe/lw	v-pppafn-
θέλουσ’	qe/lous'	ἐθέλω	e)qe/lw	v-pppafv-
θέλω	qe/lw	ἐθέλω	e)qe/lw	v1spsa---
θέλω	qe/lw	ἐθέλω	e)qe/lw	v1spia---
θέλων	qe/lwn	ἐθέλω	e)qe/lw	v-sppamn-
θέλωσιν	qe/lwsin	ἐθέλω	e)qe/lw	v3ppsa---
θέλῃς	qe/lh|s	ἐθέλω	e)qe/lw	v2spsa---
θέμενος	qe/menos	τίθημι	ti/qhmi	v-sapmmn-
θέμις	qe/mis	θέμις	qe/mis	n-p---fa-
θέμις	qe/mis	θέμις	qe/mis	n-s---fn-
θέμις	qe/mis	θέμις	qe/mis	n-s---fn-
θέμις	qe/mis	θέμις	qe/mis	n-s---fn-
θέσφαθ’	qe/sfaq'	θέσφατος	qe/sfatos	n-p---nn-
θέσφαθ’	qe/sfaq'	θέσφατος	qe/sfatos	n-p---nv-
θέσφαθ’	qe/sfaq'	θέσφατος	qe/sfatos	n-p---na-
θέσφαθ’	qe/sfaq'	θέσφατος	qe/sfatos	n-s---mv-
θέσφαθ’	qe/sfaq'	θέσφατος	qe/sfatos	n-s---fv-
θέσφατον	qe/sfaton	θέσφατος	qe/sfatos	n-s---ma-
θέσφατον	qe/sfaton	θέσφατος	qe/sfatos	n-s---fa-
θέσφατον	qe/sfaton	θέσφατος	qe/sfatos	n-s---nn-
θέσφατον	qe/sfaton	θέσφατος	qe/sfatos	n-s---nv-
θέσφατον	qe/sfaton	θέσφατος	qe/sfatos	n-s---na-
θέσφατ’	qe/sfat'	θέσφατος	qe/sfatos	n-p---nn-
θέσφατ’	qe/sfat'	θέσφατος	qe/sfatos	n-p---nv-
θέσφατ’	qe/sfat'	θέσφατος	qe/sfatos	n-p---na-
θέσφατ’	qe/sfat'	θέσφατος	qe/sfatos	n-s---mv-
θέσφατ’	qe/sfat'	θέσφατος	qe/sfatos	n-s---fv-
θήραμα	qh/rama	θήραμα	qh/rama	n-s---nn-
θήραμα	qh/rama	θήραμα	qh/rama	n-s---nv-
θήραμα	qh/rama	θήραμα	qh/rama	n-s---na-
θήρευμ’	qh/reum'	θήρευμα	qh/reuma	n-s---nn-
θήρευμ’	qh/reum'	θήρευμα	qh/reuma	n-s---nv-
θήρευμ’	qh/reum'	θήρευμα	qh/reuma	n-s---na-
θήσει	qh/sei	τίθημι	ti/qhmi	v2sfim---
θήσει	qh/sei	τίθημι	ti/qhmi	v3sfia---
θήσειν	qh/sein	τίθημι	ti/qhmi	v--fna---
θήσομαι	qh/somai	τίθημι	ti/qhmi	v1sfim---
θήσομεν	qh/somen	τίθημι	ti/qhmi	v1pfia---
θήσω	qh/sw	τίθημι	ti/qhmi	v1sfia---
θίασος	qi/asos	θίασος	qi/asos	n-s---mn-
θόρυβον	qo/rubon	θόρυβος	qo/rubos	n-s---ma-
θόρυβος	qo/rubos	θόρυβος	qo/rubos	n-s---mn-
θύγατερ	qu/gater	θυγάτηρ	quga/thr	n-s---fv-
θύεσθαι	qu/esqai	θύω1	qu/w1	v--pne---
θύεσθαι	qu/esqai	θύω2	qu/w2	v--pne---
θύετ’	qu/et'	θύω1	qu/w1	v2ppma---
θύετ’	qu/et'	θύω1	qu/w1	v2ppia---
θύετ’	qu/et'	θύω1	qu/w1	v3spie---
θύετ’	qu/et'	θύω1	qu/w1	v3siie---
θύετ’	qu/et'	θύω1	qu/w1	v2piia---
θύετ’	qu/et'	θύω2	qu/w2	v2ppma---
θύετ’	qu/et'	θύω2	qu/w2	v2ppia---
θύετ’	qu/et'	θύω2	qu/w2	v3spie---
θύετ’	qu/et'	θύω2	qu/w2	v3siie---
θύετ’	qu/et'	θύω2	qu/w2	v2piia---
θύμαθ’	qu/maq'	θῦμα	qu=ma	n-p---nn-
θύμαθ’	qu/maq'	θῦμα	qu=ma	n-p---nv-
θύμαθ’	qu/maq'	θῦμα	qu=ma	n-p---na-
θύμαθ’	qu/maq'	θῦμα	qu=ma	n-s---nd-
θύμαθ’	qu/maq'	θῦμα	qu=ma	n-d---nn-
θύμαθ’	qu/maq'	θῦμα	qu=ma	n-d---nv-
θύμαθ’	qu/maq'	θῦμα	qu=ma	n-d---na-
θύμασιν	qu/masin	θῦμα	qu=ma	n-p---nd-
θύμασί	qu/masi/	θῦμα	qu=ma	n-p---nd-
θύραζέ	qu/raze/	θύραζε	qu/raze	d--------
θύραζέ	qu/raze/	θυράζω	qura/zw	v2spma---
θύραζέ	qu/raze/	θυράζω	qura/zw	v3siia---
θύρας	qu/ras	θύρα	qu/ra	n-p---fa-
θύρας	qu/ras	θύρα	qu/ra	n-s---fg-
θύσας	qu/sas	θύω1	qu/w1	v-sapamn-
θύσας	qu/sas	θύω1	qu/w1	v-sapamv-
θύσας	qu/sas	θύω2	qu/w2	v-sapamn-
θύσας	qu/sas	θύω2	qu/w2	v-sapamv-
θύσασι	qu/sasi	θύω1	qu/w1	v-papamd-
θύσασι	qu/sasi	θύω1	qu/w1	v-papand-
θύσασι	qu/sasi	θύω2	qu/w2	v-papamd-
θύσασι	qu/sasi	θύω2	qu/w2	v-papand-
θύσειν	qu/sein	θύω1	qu/w1	v--fna---
θύσειν	qu/sein	θύω2	qu/w2	v--fna---
θύσεις	qu/seis	θύσις	qu/sis	n-p---fn-
θύσεις	qu/seis	θύσις	qu/sis	n-p---fv-
θύσεις	qu/seis	θύσις	qu/sis	n-p---fn-
θύσεις	qu/seis	θύσις	qu/sis	n-p---fa-
θύσεις	qu/seis	θύω1	qu/w1	v2sasa---
θύσεις	qu/seis	θύω1	qu/w1	v2sfia---
θύσεις	qu/seis	θύω2	qu/w2	v2sasa---
θύσεις	qu/seis	θύω2	qu/w2	v2sfia---
θύσεις	qu/seis	θῦσις	qu=sis	n-p---fn-
θύσεις	qu/seis	θῦσις	qu=sis	n-p---fv-
θύσεις	qu/seis	θῦσις	qu=sis	n-p---fn-
θύσεις	qu/seis	θῦσις	qu=sis	n-p---fa-
θύσω	qu/sw	θύω1	qu/w1	v1sasa---
θύσω	qu/sw	θύω1	qu/w1	v1sfia---
θύσω	qu/sw	θύω1	qu/w1	v2saim---
θύσω	qu/sw	θύω2	qu/w2	v1sasa---
θύσω	qu/sw	θύω2	qu/w2	v1sfia---
θύσω	qu/sw	θύω2	qu/w2	v2saim---
θῦμα	qu=ma	θῦμα	qu=ma	n-s---nn-
θῦμα	qu=ma	θῦμα	qu=ma	n-s---nv-
θῦμα	qu=ma	θῦμα	qu=ma	n-s---na-
θῦμ’	qu=m'	θῦμα	qu=ma	n-s---nn-
θῦμ’	qu=m'	θῦμα	qu=ma	n-s---nv-
θῦμ’	qu=m'	θῦμα	qu=ma	n-s---na-
θῦσαι	qu=sai	θύω1	qu/w1	v2samm---
θῦσαι	qu=sai	θύω1	qu/w1	v--ana---
θῦσαι	qu=sai	θύω2	qu/w2	v2samm---
θῦσαι	qu=sai	θύω2	qu/w2	v--ana---
θῦσαί	qu=sai/	θύω1	qu/w1	v2samm---
θῦσαί	qu=sai/	θύω1	qu/w1	v--ana---
θῦσαί	qu=sai/	θύω2	qu/w2	v2samm---
θῦσαί	qu=sai/	θύω2	qu/w2	v--ana---
καθαιμάξω	kaqaima/cw	καθαιμάσσω	kaqaima/ssw	v1sasa---
καθαιμάξω	kaqaima/cw	καθαιμάσσω	kaqaima/ssw	v1sfia---
καθαιμάξω	kaqaima/cw	καθαιμάσσω	kaqaima/ssw	v1sasa---
καθαιμάξω	kaqaima/cw	καθαιμάσσω	kaqaima/ssw	v1sfia---
καθαιμάξω	kaqaima/cw	καθαιμάσσω	kaqaima/ssw	v2saim---
καθαιμάξω	kaqaima/cw	καθαιμάσσω	kaqaima/ssw	v2saim---
καθαρσίοισι	kaqarsi/oisi	καθάρσιος	kaqa/rsios	n-p---md-
καθαρσίοισι	kaqarsi/oisi	καθάρσιος	kaqa/rsios	n-p---fd-
καθαρσίοισι	kaqarsi/oisi	καθάρσιος	kaqa/rsios	n-p---nd-
καθεύδεις	kaqeu/deis	καθεύδω	kaqeu/dw	v2spia---
καθεῖμεν	kaqei=men	καθίημι	kaqi/hmi	v1paoa---
καθεῖμεν	kaqei=men	καθίημι	kaqi/hmi	v1paoa---
καθεῖναι	kaqei=nai	καθίημι	kaqi/hmi	v--ana---
καθεῖναι	kaqei=nai	καθίημι	kaqi/hmi	v--ana---
καθάρσιον	kaqa/rsion	καθάρσιος	kaqa/rsios	n-s---ma-
καθάρσιον	kaqa/rsion	καθάρσιος	kaqa/rsios	n-s---fa-
καθάρσιον	kaqa/rsion	καθάρσιος	kaqa/rsios	n-s---nn-
καθάρσιον	kaqa/rsion	καθάρσιος	kaqa/rsios	n-s---nv-
καθάρσιον	kaqa/rsion	καθάρσιος	kaqa/rsios	n-s---na-
καθέσταμεν	kaqe/stamen	καθίστημι	kaqi/sthmi	v1plia---
καθέσταμεν	kaqe/stamen	καθίστημι	kaqi/sthmi	v1pria---
καινουργεῖς	kainourgei=s	καινουργέω	kainourge/w	v2spia---
καινουργεῖς	kainourgei=s	καινουργής	kainourgh/s	n-p---ma-
καινουργεῖς	kainourgei=s	καινουργής	kainourgh/s	n-p---fa-
καινουργεῖς	kainourgei=s	καινουργής	kainourgh/s	n-p---mn-
καινουργεῖς	kainourgei=s	καινουργής	kainourgh/s	n-p---mv-
καινουργεῖς	kainourgei=s	καινουργής	kainourgh/s	n-p---fn-
καινουργεῖς	kainourgei=s	καινουργής	kainourgh/s	n-p---fv-
καινούς	kainou/s	καινός	kaino/s	a-p---ma-
καιρόν	kairo/n	καιρός	kairo/s	n-s---ma-
καιρός	kairo/s	καιρός	kairo/s	n-s---mn-
κακαί	kakai/	κακός	kako/s	a-p---fn-
κακαί	kakai/	κακός	kako/s	a-p---fv-
κακοστόμους	kakosto/mous	κακόστομος	kako/stomos	n-p---ma-
κακοστόμους	kakosto/mous	κακόστομος	kako/stomos	n-p---fa-
κακούς	kakou/s	κακός	kako/s	a-p---ma-
κακοῖς	kakoi=s	κακός	kako/s	a-p---md-
κακοῖς	kakoi=s	κακός	kako/s	a-p---nd-
κακοῖς	kakoi=s	κακόω	kako/w	v2spoa---
κακοῖς	kakoi=s	κακόω	kako/w	v2spsa---
κακοῖς	kakoi=s	κακόω	kako/w	v2spia---
κακοῖσί	kakoi=si/	κακός	kako/s	a-p---md-
κακοῖσί	kakoi=si/	κακός	kako/s	a-p---nd-
κακοῖσί	kakoi=si/	κακόω	kako/w	v-pppamd-
κακοῖσί	kakoi=si/	κακόω	kako/w	v-pppand-
κακοῖσί	kakoi=si/	κακόω	kako/w	v3spsa---
κακοῖσί	kakoi=si/	κακόω	kako/w	v3ppia---
κακοῦ	kakou=	κακός	kako/s	a-s---mg-
κακοῦ	kakou=	κακός	kako/s	a-s---ng-
κακοῦ	kakou=	κακόω	kako/w	v2spme---
κακοῦ	kakou=	κακόω	kako/w	v2siie---
κακά	kaka/	κακός	kako/s	a-p---nn-
κακά	kaka/	κακός	kako/s	a-p---nv-
κακά	kaka/	κακός	kako/s	a-p---na-
κακά	kaka/	κακός	kako/s	a-d---fn-
κακά	kaka/	κακός	kako/s	a-d---fv-
κακά	kaka/	κακός	kako/s	a-d---fa-
κακά	kaka/	κακός	kako/s	a-s---fn-
κακά	kaka/	κακός	kako/s	a-s---fv-
κακήν	kakh/n	κακός	kako/s	a-s---fa-
κακίστης	kaki/sths	κακός	kako/s	a-s---fg-
κακίστων	kaki/stwn	κακός	kako/s	a-p---fg-
κακίστων	kaki/stwn	κακός	kako/s	a-p---mg-
κακίστων	kaki/stwn	κακός	kako/s	a-p---ng-
κακόν	kako/n	κακός	kako/s	a-s---ma-
κακόν	kako/n	κακός	kako/s	a-s---nn-
κακόν	kako/n	κακός	kako/s	a-s---nv-
κακόν	kako/n	κακός	kako/s	a-s---na-
κακός	kako/s	κακός	kako/s	a-s---mn-
κακόφρονες	kako/frones	κακόφρων	kako/frwn	n-p---mn-
κακόφρονες	kako/frones	κακόφρων	kako/frwn	n-p---mv-
κακόφρονες	kako/frones	κακόφρων	kako/frwn	n-p---fn-
κακόφρονες	kako/frones	κακόφρων	kako/frwn	n-p---fv-
κακῆς	kakh=s	κακάζω	kaka/zw	v2sfia---
κακῆς	kakh=s	κακός	kako/s	a-s---fg-
κακῶν	kakw=n	κάκη	ka/kh	n-p---fg-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpamv-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpann-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpanv-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpana-
κακῶν	kakw=n	κακάζω	kaka/zw	v-sfpamn-
κακῶν	kakw=n	κακός	kako/s	a-p---fg-
κακῶν	kakw=n	κακός	kako/s	a-p---mg-
κακῶν	kakw=n	κακός	kako/s	a-p---ng-
κακῶν	kakw=n	κακόω	kako/w	v-sppamv-
κακῶν	kakw=n	κακόω	kako/w	v-sppann-
κακῶν	kakw=n	κακόω	kako/w	v-sppanv-
κακῶν	kakw=n	κακόω	kako/w	v-sppana-
κακῶν	kakw=n	κακόω	kako/w	v-sppamn-
κακῶν	kakw=n	κακόω	kako/w	v--pna---
κακῶς	kakw=s	κακός	kako/s	x--------
κακῶς	kakw=s	κακόω	kako/w	v2spia---
κακῷ	kakw=|	κακάζω	kaka/zw	v3sfoa---
κακῷ	kakw=|	κακός	kako/s	a-s---md-
κακῷ	kakw=|	κακός	kako/s	a-s---nd-
καλαμοεσσᾶν	kalamoessa=n	καλαμόεις	kalamo/eis	n-p---fg-
καλεῖ	kalei=	καλέω	kale/w	v2sfim---
καλεῖ	kalei=	καλέω	kale/w	v3sfia---
καλεῖ	kalei=	καλέω	kale/w	v2spie---
καλεῖ	kalei=	καλέω	kale/w	v3spia---
καλεῖς	kalei=s	καλέω	kale/w	v2sfia---
καλεῖς	kalei=s	καλέω	kale/w	v2spia---
καλλικόμαν	kalliko/man	καλλικόμας	kalliko/mas	n-s---ma-
καλλικόμαν	kalliko/man	καλλικόμας	kalliko/mas	n-s---ma-
καλλιπαρθένου	kalliparqe/nou	καλλιπάρθενος	kallipa/rqenos	n-s---mg-
καλλιπαρθένου	kalliparqe/nou	καλλιπάρθενος	kallipa/rqenos	n-s---fg-
καλλιπαρθένου	kalliparqe/nou	καλλιπάρθενος	kallipa/rqenos	n-s---ng-
καλλιπλόκαμοι	kalliplo/kamoi	καλλιπλόκαμος	kalliplo/kamos	n-p---mn-
καλλιπλόκαμοι	kalliplo/kamoi	καλλιπλόκαμος	kalliplo/kamos	n-p---mv-
καλλιπλόκαμοι	kalliplo/kamoi	καλλιπλόκαμος	kalliplo/kamos	n-p---fn-
καλλιπλόκαμοι	kalliplo/kamoi	καλλιπλόκαμος	kalliplo/kamos	n-p---fv-
καλλονᾶς	kallona=s	καλλονή	kallonh/	n-s---fg-
καλλίστα	kalli/sta	καλός	kalo/s	a-d---fn-
καλλίστα	kalli/sta	καλός	kalo/s	a-d---fv-
καλλίστα	kalli/sta	καλός	kalo/s	a-d---fa-
καλλίστα	kalli/sta	καλός	kalo/s	a-s---fn-
καλλίστα	kalli/sta	καλός	kalo/s	a-s---fv-
καλλίστους	kalli/stous	καλός	kalo/s	a-p---ma-
καλάμοις	kala/mois	κάλαμος	ka/lamos	n-p---md-
καλόν	kalo/n	καλός	kalo/s	a-s---ma-
καλόν	kalo/n	καλός	kalo/s	a-s---nn-
καλόν	kalo/n	καλός	kalo/s	a-s---nv-
καλόν	kalo/n	καλός	kalo/s	a-s---na-
καλῶν	kalw=n	κάλη	ka/lh	n-p---fg-
καλῶν	kalw=n	καλέω	kale/w	v-sfpamn-
καλῶν	kalw=n	καλέω	kale/w	v-sppamn-
καλῶν	kalw=n	καλός	kalo/s	a-p---fg-
καλῶν	kalw=n	καλός	kalo/s	a-p---mg-
καλῶν	kalw=n	καλός	kalo/s	a-p---ng-
καλῶν	kalw=n	κήλη	kh/lh	n-p---fg-
καλῶς	kalw=s	καλός	kalo/s	x--------
καλῷ	kalw=|	καλός	kalo/s	a-s---md-
καλῷ	kalw=|	καλός	kalo/s	a-s---nd-
καμπαῖσι	kampai=si	καμπή	kamph/	n-p---fd-
κανοῦν	kanou=n	καίνω	kai/nw	v-sfpamv-
κανοῦν	kanou=n	καίνω	kai/nw	v-sfpann-
κανοῦν	kanou=n	καίνω	kai/nw	v-sfpanv-
κανοῦν	kanou=n	καίνω	kai/nw	v-sfpana-
κανᾶ	kana=	κάνεον	ka/neon	n-p---nn-
κανᾶ	kana=	κάνεον	ka/neon	n-p---nv-
κανᾶ	kana=	κάνεον	ka/neon	n-p---na-
καραδοκήσω	karadokh/sw	καραδοκέω	karadoke/w	v1sasa---
καραδοκήσω	karadokh/sw	καραδοκέω	karadoke/w	v1sfia---
καραδοκήσω	karadokh/sw	καραδοκέω	karadoke/w	v2saim---
καρδίαν	kardi/an	καρδία	kardi/a	n-s---fa-
καρδίαν	kardi/an	καρδιάω	kardia/w	v3piia---
καρδίαν	kardi/an	καρδιάω	kardia/w	v1siia---
καρδίας	kardi/as	καρδία	kardi/a	n-p---fa-
καρδίας	kardi/as	καρδία	kardi/a	n-s---fg-
καρδίας	kardi/as	καρδιάω	kardia/w	v2siia---
καρτερεῖν	karterei=n	καρτερέω	kartere/w	v--pna---
κασιγνήταισιν	kasignh/taisin	κασιγνήτη	kasignh/th	n-p---fd-
κασιγνήτοισι	kasignh/toisi	κασίγνητος	kasi/gnhtos	n-p---md-
κασίγνητον	kasi/gnhton	κασίγνητος	kasi/gnhtos	n-s---ma-
καταγελῶντας	katagelw=ntas	καταγελάω	katagela/w	v-pppama-
καταγελῶντας	katagelw=ntas	καταγελάω	katagela/w	v-pppama-
καταγελῶντας	katagelw=ntas	καταγελάω	katagela/w	v-pfpama-
καταδεδούλωται	katadedou/lwtai	καταδουλόω	katadoulo/w	v3srie---
καταισχύνεις	kataisxu/neis	καταισχύνω	kataisxu/nw	v2spia---
καταισχύνεις	kataisxu/neis	καταισχύνω	kataisxu/nw	v2sasa---
καταισχύνεις	kataisxu/neis	καταισχύνω	kataisxu/nw	v2sasa---
καταισχύνεις	kataisxu/neis	καταισχύνω	kataisxu/nw	v2spia---
κατακτανών	kataktanw/n	κατακτείνω	kataktei/nw	v-sapamn-
κατακτενοῦσι	kataktenou=si	κατακτείνω	kataktei/nw	v-pfpamd-
κατακτενοῦσι	kataktenou=si	κατακτείνω	kataktei/nw	v-pfpand-
κατακτενοῦσι	kataktenou=si	κατακτείνω	kataktei/nw	v3pfia---
καταλιπών	katalipw/n	καταλιμπάνω	katalimpa/nw	v-sapamn-
καταλλαχθεῖσα	katallaxqei=sa	καταλλάσσω	katalla/ssw	v-sappfn-
καταλλαχθεῖσα	katallaxqei=sa	καταλλάσσω	katalla/ssw	v-sappfv-
καταλλαχθεῖσα	katallaxqei=sa	καταλλάσσω	katalla/ssw	v-sappfn-
καταλλαχθεῖσα	katallaxqei=sa	καταλλάσσω	katalla/ssw	v-sappfv-
καταπαλαίουσιν	katapalai/ousin	καταπαλαίω	katapalai/w	v-pppamd-
καταπαλαίουσιν	katapalai/ousin	καταπαλαίω	katapalai/w	v-pppand-
καταπαλαίουσιν	katapalai/ousin	καταπαλαίω	katapalai/w	v3ppia---
κατασκαφαί	kataskafai/	κατασκαφή	kataskafh/	n-p---fn-
κατασκαφαί	kataskafai/	κατασκαφή	kataskafh/	n-p---fv-
κατασκαφάς	kataskafa/s	κατασκαφή	kataskafh/	n-p---fa-
κατασκάψειν	kataska/yein	κατασκάπτω	kataska/ptw	v--fna---
κατασκάψουσι	kataska/yousi	κατασκάπτω	kataska/ptw	v3pasa---
κατασκάψουσι	kataska/yousi	κατασκάπτω	kataska/ptw	v-pfpamd-
κατασκάψουσι	kataska/yousi	κατασκάπτω	kataska/ptw	v-pfpand-
κατασκάψουσι	kataska/yousi	κατασκάπτω	kataska/ptw	v3pfia---
καταστελῶ	katastelw=	καταστέλλω	kataste/llw	v1sfia---
καταστένειν	kataste/nein	καταστένω	kataste/nw	v--pna---
καταστέφειν	kataste/fein	καταστέφω	kataste/fw	v--pna---
καταστέψασ’	kataste/yas'	καταστέφω	kataste/fw	v-sapafn-
καταστέψασ’	kataste/yas'	καταστέφω	kataste/fw	v-sapafv-
καταστέψασ’	kataste/yas'	καταστέφω	kataste/fw	v-papamd-
καταστέψασ’	kataste/yas'	καταστέφω	kataste/fw	v-papand-
καταστέψασ’	kataste/yas'	καταστέφω	kataste/fw	v-papafn-
καταστέψασ’	kataste/yas'	καταστέφω	kataste/fw	v-papafv-
κατατενῶ	katatenw=	κατατείνω	katatei/nw	v1sfia---
καταφυγεῖν	katafugei=n	καταφεύγω	katafeu/gw	v--ana---
κατειδόμαν	kateido/man	κατεῖδον	katei=don	v1saim---
κατειδόμαν	kateido/man	κατεῖδον	katei=don	v1saim---
κατεύξῃ	kateu/ch|	κατεύχομαι	kateu/xomai	v2sasm---
κατεύξῃ	kateu/ch|	κατεύχομαι	kateu/xomai	v2sfim---
κατεῖδον	katei=don	κατεῖδον	katei=don	v3paia---
κατεῖδον	katei=don	κατεῖδον	katei=don	v1saia---
κατηναγκασμένους	kathnagkasme/nous	καταναγκάζω	katanagka/zw	v-prpema-
κατηνθρακώθη	kathnqrakw/qh	κατανθρακόομαι	katanqrako/omai	v3saip---
κατθανεῖν	katqanei=n	καταθνήσκω	kataqnh/skw	v--ana---
κατθανοῦσα	katqanou=sa	καταθνήσκω	kataqnh/skw	v-sapafn-
κατθανοῦσα	katqanou=sa	καταθνήσκω	kataqnh/skw	v-sapafv-
κατθανοῦσ’	katqanou=s'	καταθνήσκω	kataqnh/skw	v-sapafn-
κατθανοῦσ’	katqanou=s'	καταθνήσκω	kataqnh/skw	v-sapafv-
κατθανοῦσ’	katqanou=s'	καταθνήσκω	kataqnh/skw	v-papamd-
κατθανοῦσ’	katqanou=s'	καταθνήσκω	kataqnh/skw	v-papand-
κατθανοῦσ’	katqanou=s'	καταθνήσκω	kataqnh/skw	v-papafn-
κατθανοῦσ’	katqanou=s'	καταθνήσκω	kataqnh/skw	v-papafv-
κατοίκτιρον	katoi/ktiron	κατοικτείρω	katoiktei/rw	v2sama---
κατοίκτιρον	katoi/ktiron	κατοικτείρω	katoiktei/rw	v3piia---
κατοίκτιρον	katoi/ktiron	κατοικτείρω	katoiktei/rw	v1siia---
κατά	kata/	κατά	kata/	r--------
κατάκρας	kata/kras	ἄκρα	a)/kra	d--------
κατέσχε	kate/sxe	κατέχω	kate/xw	v3saia---
κατέσχες	kate/sxes	κατέχω	kate/xw	v2saia---
κατέσχον	kate/sxon	κατέχω	kate/xw	v3paia---
κατέσχον	kate/sxon	κατέχω	kate/xw	v1saia---
κατόμνυμ’	kato/mnum'	κατόμνυμι	kato/mnumi	v1spia---
κατόμνυμ’	kato/mnum'	κατόμνυμι	kato/mnumi	v1spie---
κατόπισθεν	kato/pisqen	κατόπισθεν	kato/pisqen	d--------
κατῄνεσας	kath/|nesas	καταινέω	kataine/w	v2saia---
κατῳκτίσθην	katw|kti/sqhn	κατοικτίζω	katoikti/zw	v3dlie---
κατῳκτίσθην	katw|kti/sqhn	κατοικτίζω	katoikti/zw	v3paip---
κατῳκτίσθην	katw|kti/sqhn	κατοικτίζω	katoikti/zw	v1saip---
κατῳκτίσθην	katw|kti/sqhn	κατοικτίζω	katoikti/zw	v3dlie---
κατῴκτιρ’	katw/|ktir'	κατοικτείρω	katoiktei/rw	v1saia---
κατῴκτιρ’	katw/|ktir'	κατοικτείρω	katoiktei/rw	v3siia---
κατῴκτιρ’	katw/|ktir'	κατοικτείρω	katoiktei/rw	v3saia---
καὐτήν	kau)th/n	αὐτός	au)to/s	n-s---fa-
καὐτός	kau)to/s	αὐτός	au)to/s	n-s---mn-
καί	kai/	καί	kai/	c--------
καίρια	kai/ria	καίριος	kai/rios	a-p---nn-
καίρια	kai/ria	καίριος	kai/rios	a-p---nv-
καίρια	kai/ria	καίριος	kai/rios	a-p---na-
καίρια	kai/ria	καίριος	kai/rios	n-p---nn-
καίρια	kai/ria	καίριος	kai/rios	n-p---nv-
